NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
4655,LE CRI D'ALARME,Jean-Pierre Maher,2004,2004-10-13,2004-11-30,12,1,Télévision générale,Canadienne,14,6
4656,VISITE LIBRE,Pierre Alex-Vachon,2004,2004-07-07,2004-12-31,15,0,Télévision générale,Canadienne,14,6
4657,DIVERS,,2004,2004-10-12,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4664,Assurances de la Banque Nationale,,2004,2004-10-14,2004-10-15,2,0,Message publicitaire,Canadienne,15,6
4665,MADE IN QUEBEC IV,"M-H Grenier, Joël Bertomeu, Pierre Bastien",2004,2004-09-01,2004-12-31,24,0,Télévision générale,Canadienne,14,6
4666,TWO STEPS CLOSER,Jean-François Pilon,2004,2004-10-14,2004-10-15,2,0,Vidéo,Canadienne,17,6
4667,ÉCRAN LIBRE,Micheline Guertin,2004,2004-10-18,2005-03-29,12,0,Télévision générale,Canadienne,14,6
4668,Le Ciel gris,Anaïs Barbeau Lavalette,2004,2004-10-19,2004-10-20,1,0,Vidéo,Canadienne,17,6
4669,C'EST MA VIE,Karl Boulanger,2004,2004-04-01,2004-11-30,30,0,Télévision générale,Canadienne,14,6
4670,PRO-MUTUEL,Alexis Durand-Brault,2004,2004-10-20,2004-10-20,1,0,Message publicitaire,Canadienne,15,6
4671,Titre provisoire : Qu'est-ce que tu fais de ta session?,Marie-Andrée Labbé,2004,2004-10-08,2004-12-20,12,0,Télévision générale,Canadienne,14,6
4672,DOUBLE MIXTE,Bernard LaFrenière,2004,2004-10-16,2004-12-31,96,0,Télévision générale,Canadienne,14,6
4673,Canadian Case Files,Jennifer Alleyn,2004,2004-10-19,2004-12-31,27,0,Série télévisée,Canadienne,13,6
